timestamp,ph,tds_ppm
2025-04-25T10:12:58,3.94,1.39
2025-04-25T10:13:00,3.94,0.7
2025-04-25T10:13:02,3.94,0.98
2025-04-25T10:13:04,3.94,0.98
2025-04-25T10:13:06,3.94,1.25
2025-04-25T10:13:08,3.93,0.56
2025-04-25T10:13:10,3.95,0.56
2025-04-25T10:13:12,3.94,0.28
2025-04-25T10:13:14,3.94,0.7
2025-04-25T10:13:16,3.94,0.84
2025-04-25T10:13:18,3.94,0.7
2025-04-25T10:13:20,3.94,0.7
2025-04-25T10:13:22,3.95,0.84
2025-04-25T10:13:24,3.94,0.0
2025-04-25T10:13:26,3.94,0.28
2025-04-25T10:13:28,3.95,0.84
2025-04-25T10:13:30,3.94,0.7
2025-04-25T10:13:32,3.93,0.56
2025-04-25T10:13:34,3.94,0.7
2025-04-25T10:13:36,3.94,0.56
2025-04-25T10:13:38,3.93,0.7
2025-04-25T10:13:40,3.94,0.28
2025-04-25T10:13:42,3.94,0.42
2025-04-25T10:13:44,3.93,0.7
2025-04-25T10:13:46,3.94,0.56
2025-04-25T10:13:48,3.94,0.42
2025-04-25T10:13:50,3.94,0.42
2025-04-25T10:13:52,3.94,0.7
2025-04-25T10:13:54,3.94,0.42
2025-04-25T10:13:56,3.92,0.14
2025-04-25T10:13:58,3.93,0.28
